reaction formula	model.dG0	dG0_prime	dGm_prime	dG0_std
3hoctaACP_c --> h2o_c + toctd2eACP_c	nan	nan	nan	0.0
3hcvac11eACP_c --> h2o_c + t3c11vaceACP_c	nan	nan	nan	0.0
3haACP_c --> but2eACP_c + h2o_c	nan	nan	nan	0.0
3hhexACP_c --> h2o_c + thex2eACP_c	nan	nan	nan	0.0
3hoctACP_c --> h2o_c + toct2eACP_c	nan	nan	nan	0.0
3hcinnm_c + h_c + nadh_c + o2_c --> dhcinnm_c + h2o_c + nad_c	nan	nan	nan	0.0
3hpppn_c + h_c + nadh_c + o2_c --> dhpppn_c + h2o_c + nad_c	nan	nan	nan	0.0
3dhguln_c + atp_c --> 3dhgulnp_c + adp_c + h_c	24.4401503703	-18.2591451077	-18.2591451077	1.11098227219
3ump_p + h2o_p --> pi_p + uri_p	nan	nan	nan	0.0
3cmp_p + h2o_p --> cytd_p + pi_p	nan	nan	nan	0.0
3amp_p + h2o_p --> adn_p + pi_p	nan	nan	nan	0.0
3gmp_p + h2o_p --> gsn_p + pi_p	nan	nan	nan	0.0
3odecACP_c + h_c + nadph_c <=> 3hdecACP_c + nadp_c	nan	nan	nan	0.0
3oddecACP_c + h_c + nadph_c <=> 3hddecACP_c + nadp_c	nan	nan	nan	0.0
3ocddec5eACP_c + h_c + nadph_c --> 3hcddec5eACP_c + nadp_c	nan	nan	nan	0.0
3omrsACP_c + h_c + nadph_c <=> 3hmrsACP_c + nadp_c	nan	nan	nan	0.0
3ocmrs7eACP_c + h_c + nadph_c --> 3hcmrs7eACP_c + nadp_c	nan	nan	nan	0.0
3opalmACP_c + h_c + nadph_c <=> 3hpalmACP_c + nadp_c	nan	nan	nan	0.0
3ocpalm9eACP_c + h_c + nadph_c --> 3hcpalm9eACP_c + nadp_c	nan	nan	nan	0.0
3ooctdACP_c + h_c + nadph_c <=> 3hoctaACP_c + nadp_c	nan	nan	nan	0.0
3ocvac11eACP_c + h_c + nadph_c --> 3hcvac11eACP_c + nadp_c	nan	nan	nan	0.0
actACP_c + h_c + nadph_c <=> 3haACP_c + nadp_c	nan	nan	nan	0.0
3ohexACP_c + h_c + nadph_c <=> 3hhexACP_c + nadp_c	nan	nan	nan	0.0
3ooctACP_c + h_c + nadph_c <=> 3hoctACP_c + nadp_c	nan	nan	nan	0.0
h_c + malACP_c + ocACP_c --> 3odecACP_c + ACP_c + co2_c	nan	nan	nan	0.0
dcaACP_c + h_c + malACP_c --> 3oddecACP_c + ACP_c + co2_c	nan	nan	nan	0.0
cdec3eACP_c + h_c + malACP_c --> 3ocddec5eACP_c + ACP_c + co2_c	nan	nan	nan	0.0
ddcaACP_c + h_c + malACP_c --> 3omrsACP_c + ACP_c + co2_c	nan	nan	nan	0.0
cddec5eACP_c + h_c + malACP_c --> 3ocmrs7eACP_c + ACP_c + co2_c	nan	nan	nan	0.0
h_c + malACP_c + myrsACP_c --> 3opalmACP_c + ACP_c + co2_c	nan	nan	nan	0.0
h_c + malACP_c + tdeACP_c --> 3ocpalm9eACP_c + ACP_c + co2_c	nan	nan	nan	0.0
h_c + malACP_c + palmACP_c --> 3ooctdACP_c + ACP_c + co2_c	nan	nan	nan	0.0
h_c + hdeACP_c + malACP_c --> 3ocvac11eACP_c + ACP_c + co2_c	nan	nan	nan	0.0
butACP_c + h_c + malACP_c --> 3ohexACP_c + ACP_c + co2_c	nan	nan	nan	0.0
h_c + hexACP_c + malACP_c --> 3ooctACP_c + ACP_c + co2_c	nan	nan	nan	0.0
LalaDgluMdap_p + atp_c + h2o_c --> LalaDgluMdap_c + adp_c + h_c + pi_c	nan	nan	nan	0.0
LalaDgluMdap_e <=> LalaDgluMdap_p	nan	nan	nan	0.0
3ump_e <=> 3ump_p	0.0	0.0	0.0	0.0
dopa_p + h2o_p + o2_p --> 34dhpac_p + h2o2_p + nh4_p	nan	nan	nan	0.0
4hoxpacd_e <=> 4hoxpacd_p	0.0	0.0	0.0	0.0
h2o_c + phthr_c --> 4hthr_c + pi_c	nan	nan	nan	0.0
LalaDgluMdapDala_c + h2o_c --> LalaDgluMdap_c + ala__D_c	nan	nan	nan	0.0
LalaDgluMdapDala_p + h2o_p --> LalaDgluMdap_p + ala__D_p	nan	nan	nan	0.0
LalaDgluMdapDala_p + atp_c + h2o_c --> LalaDgluMdapDala_c + adp_c + h_c + pi_c	nan	nan	nan	0.0
LalaDgluMdapDala_e <=> LalaDgluMdapDala_p	nan	nan	nan	0.0
5dglcn_c + h_c + nadph_c <=> glcn_c + nadp_c	-65.5091535624	-19.5392418155	-19.5392418155	0.566822681812
5dglcn_p + h_p <=> 5dglcn_c + h_c	0.0	0.0	0.0	0.0
5dglcn_e <=> 5dglcn_p	0.0	0.0	0.0	0.0
dad_5_c + h2o_c --> 5drib_c + ade_c	nan	nan	nan	0.0
ru5p__D_c <=> ara5p_c	2.47728448792	2.46968389273	2.46968389273	0.997582757377
ACP_c + atp_c + ttdca_c --> amp_c + myrsACP_c + ppi_c	nan	nan	nan	0.0
ACP_c + atp_c + ttdcea_c --> amp_c + ppi_c + tdeACP_c	nan	nan	nan	0.0
ACP_c + atp_c + hdca_c --> amp_c + palmACP_c + ppi_c	nan	nan	nan	0.0
ACP_c + atp_c + hdcea_c --> amp_c + hdeACP_c + ppi_c	nan	nan	nan	0.0
ACP_c + atp_c + ocdcea_c --> amp_c + octeACP_c + ppi_c	nan	nan	nan	0.0
ACP_c + atp_c + ocdca_c --> amp_c + ocdcaACP_c + ppi_c	nan	nan	nan	0.0
ACP_c + atp_c + ddca_c --> amp_c + ddcaACP_c + ppi_c	nan	nan	nan	0.0
ACP_c + atp_c + dca_c --> amp_c + dcaACP_c + ppi_c	nan	nan	nan	0.0
