cid,dG0_f
C04030, -298.18
C04031,     nan
C04033, -604.28
C04034,-2923.04
C04036,-1375.55
C04037,-1926.90
C04039, -658.71
C04042, -123.91
C04043, -397.30
C04044, -607.94
C04045, -729.55
C04046,     nan
C04047,-3359.34
C04049, -941.79
C04050,     nan
C04051,   -3.25
C04052,-1023.62
C04053, -886.66
C04054,     nan
C04056,  -90.84
C04058,     nan
C04061,     nan
C04062,-2646.68
C04063,-2646.68
C04064,-2646.68
C04067, -723.29
C04068,-1312.55
C04069,-1305.09
C04070,     nan
C04071, -692.45
C04072,     nan
C04073,     nan
C04074, -796.76
C04075, -268.26
C04076, -460.76
C04078, -345.78
C04079, -882.31
C04080,     nan
C04081,  129.77
C04083,  444.48
C04084,  -55.55
C04087,     nan
C04088,     nan
C04089,-2964.47
C04090,     nan
C04091, -222.95
C04092, -236.43
C04093,-1717.93
C04097,     nan
C04098,     nan
C04099,     nan
C04100, -877.84
C04101,-2128.38
C04102,-1052.22
C04103,-1044.20
C04104, -651.74
C04105, -549.85
C04106, -607.99
C04108, -240.93
C04109, -918.22
C04110, -347.12
C04111,-1500.54
C04112, -498.06
C04114, -201.12
C04115,-1276.41
C04116,     nan
C04117,     nan
C04118, -496.54
C04121,-2137.49
C04122,-1028.35
C04125,     nan
C04126,-1028.35
C04128,     nan
C04130,     nan
C04131, -517.87
C04132,-1597.31
C04133,-1656.48
C04134,     nan
C04135,     nan
C04136,     nan
C04137, -559.95
C04138, -309.10
C04141,     nan
C04142,     nan
C04144,-1436.27
C04145, -921.37
C04146,-1035.16
C04147,-1579.78
C04148, -489.97
C04149,     nan
C04150, -366.47
C04152,     nan
C04153,     nan
C04154,     nan
C04155,     nan
C04156,     nan
C04157,     nan
C04158,     nan
C04159,     nan
C04160,     nan
C04161,     nan
C04164, -814.65
C04165, -772.89
C04166, -337.79
C04167, -151.64
C04170, -260.29
C04171, -612.30
C04175,-2262.60
C04178,  176.94
C04180,     nan
C04181, -621.11
C04185, -529.22
C04186,-1023.62
C04187,-2101.98
C04188,-1396.94
C04191,-2316.79
C04193,-1312.55
C04194,-1311.30
C04195,     nan
C04196,     nan
C04197, -809.19
C04199,-1693.40
C04201,-1144.29
C04202,     nan
C04203,  193.81
C04204, -906.88
C04205, -388.82
C04207, -420.57
C04208, -415.63
C04209, -836.84
C04210, -649.19
C04211, -239.81
C04212,     nan
C04213,     nan
C04214,     nan
C04215,     nan
C04216,-1148.96
C04217,-1376.55
C04218,-1589.70
C04219,-1568.09
C04221, -222.95
C04223, -300.19
C04225, -914.15
C04226, -478.71
C04227, -253.18
C04229, -772.68
C04230,     nan
C04232,     nan
C04233,     nan
C04234,-1966.36
C04235,     nan
C04236, -773.51
C04237, -614.14
C04239,     nan
C04242,-1588.00
C04244, -215.06
C04246,    1.41
C04247,     nan
C04248,     nan
C04250,     nan
C04251, -990.18
C04253,     nan
C04255,-1597.31
C04256,-1725.02
C04257,-1727.44
C04258,     nan
C04259, -101.64
C04260,     nan
C04261,     nan
C04262,     nan
C04264, -281.35
C04265,-1624.83
C04266,     nan
C04268,-2681.33
C04271, -541.29
C04272, -658.71
C04273, -642.29
C04274, -169.32
C04275,-1912.87
C04276,     nan
C04277, -196.06
C04280, -737.80
C04281, -349.01
C04282, -404.98
C04283,     nan
C04284,     nan
C04285, -323.09
C04286, -356.71
C04287, -632.80
C04290,  -15.51
C04291,     nan
C04292,     nan
C04293, -684.97
C04294,  -52.86
C04295, -166.45
C04297,-2576.32
C04298,     nan
C04299,-1582.64
C04300,     nan
C04301, -247.86
C04302,-1576.81
C04303,   75.06
C04305,     nan
C04307,     nan
C04308,     nan
C04309,-1420.63
C04311,     nan
C04312,     nan
C04313,     nan
C04314, -143.45
C04315,     nan
C04316,-3316.88
C04317,     nan
C04318,     nan
C04322, -178.74
C04323, -384.10
C04324,-1034.52
C04327, -898.88
C04328,     nan
C04330,-2031.21
C04332, -538.08
C04333,-1359.71
C04334,     nan
C04335, -125.71
C04336,-1886.95
C04337, -233.94
C04339,     nan
C04340,     nan
C04341,     nan
C04342,     nan
C04346,-2668.99
C04347,     nan
C04348,-3703.41
C04349, -889.14
C04350,  -34.99
C04351,   57.66
C04352,-1723.54
C04353,  -34.99
C04354,-1934.83
C04359,-1744.82
C04360,-2731.05
C04361,     nan
C04364,     nan
C04365,     nan
C04366, -738.53
C04367, -426.74
C04368, -418.94
C04371, -308.22
C04372,     nan
C04373, -173.93
C04375,     nan
C04376,-1670.13
C04377,-2013.15
C04378,-1039.06
C04379,     nan
C04381,     nan
C04382,-2324.25
C04384,     nan
C04385,-1266.97
C04386,     nan
C04387,     nan
C04390, -806.30
C04391,     nan
C04392,-4459.21
C04394,     nan
C04395,     nan
C04397,     nan
C04398,     nan
C04399,-1296.55
C04403, -315.36
C04404, -461.18
C04405,-3354.50
C04409, -633.16
C04411, -811.10
C04415,-1040.87
C04416,  -20.73
C04417,-2251.41
C04418, -375.49
C04419,     nan
C04420,-1359.57
C04421,-1132.31
C04422,     nan
C04423,-2481.78
C04424, -228.99
C04425, -464.17
C04426,-3819.11
C04427,-3295.40
C04428,-2231.90
C04429,     nan
C04431, -542.08
C04432,     nan
C04433, -126.48
C04434,-1034.52
C04435,   77.95
C04437,-1526.21
C04438,     nan
C04441, -512.54
C04442,-1769.27
C04443, -710.13
C04444, -878.24
C04445, -234.72
C04446, -538.34
C04447, -532.39
C04448,     nan
C04451,-1034.52
C04452, -805.34
C04453,   83.70
C04454,-1622.43
C04457,-1603.37
C04458,-3150.57
C04459,     nan
C04461,-2563.63
C04462,-1229.12
C04465,-1599.63
C04466,     nan
C04468,  -53.39
C04469,  217.76
C04471, -886.66
C04473,     nan
C04475,     nan
C04476,     nan
C04477,-4314.23
C04478,-2072.47
C04479, -806.33
C04480, -816.91
C04482,     nan
C04483, -500.04
C04484, -816.91
C04485, -131.60
C04486,   10.96
C04487,     nan
C04488,-1996.76
C04489,-1339.34
C04491,-1742.77
C04494,-4731.47
C04498,  -36.80
C04500,-2079.79
C04501,-1722.40
C04502,     nan
C04503,-1507.32
C04504,     nan
C04505,     nan
C04506,     nan
C04507,-1347.70
C04508,-2889.01
C04509, -807.57
C04510,     nan
C04511,     nan
C04512,     nan
C04514, -143.45
C04515,     nan
C04516,-3333.72
C04517,     nan
C04518, -295.43
C04520,-4314.23
C04521,-1144.09
C04522, -538.90
C04524,-1192.10
C04525,  139.77
C04526,-2145.27
C04527, -913.29
C04529,-1082.46
C04530,   71.46
C04534,-2421.01
C04535, -469.04
C04536,     nan
C04537,     nan
C04539,     nan
C04540,-1196.50
C04541,   19.96
C04542,     nan
C04543,     nan
C04544, -927.55
C04545,     nan
C04546, -785.78
C04547, -447.63
C04548, -216.81
C04549,     nan
C04552,-1081.40
C04553,     nan
C04554, -476.47
C04555, -844.40
C04556, -808.24
C04558, -599.73
C04559, -533.96
C04561, -316.23
C04562, -316.23
C04563,-5148.01
C04564,     nan
C04565,     nan
C04566,     nan
C04570,     nan
C04572,-1011.74
C04573,-3295.40
C04574, -693.78
C04575,-1048.35
C04576,-3758.39
C04577,  -32.82
C04578,     nan
C04579,-5148.01
C04580,-1204.39
C04581,-1086.33
C04582,-1404.11
C04583, -347.80
C04584, -477.38
C04586, -757.78
C04587, -757.78
C04589,-4527.79
C04590, -832.67
C04592, -277.68
C04593,-1152.11
C04594, -267.76
C04596,  301.48
C04597, -824.63
C04598,     nan
C04599,  235.80
C04604, -533.79
C04606, -428.57
C04608,-1203.06
C04611,-1381.06
C04613,-2937.50
C04614,     nan
C04615,-3381.18
C04617,-1155.37
C04618,   -1.41
C04619,     nan
C04620,     nan
C04621,   88.64
C04622,   88.64
C04623,  223.76
C04625, -598.57
C04627,     nan
C04628,-1249.16
C04630,-2813.07
C04631,-3301.06
C04632,     nan
C04633,     nan
C04634, -557.58
C04635,     nan
C04636,     nan
C04637,     nan
C04638, -330.04
C04639,-1565.30
C04640,-1463.50
C04641,-1997.33
C04642, -809.95
C04643, -647.03
C04644,-3337.87
C04645,     nan
C04646,     nan
C04648,     nan
C04649,     nan
C04650,     nan
C04652,-3404.26
C04654, -579.71
C04655,-1089.43
C04656,     nan
C04657,     nan
C04660,-2979.05
C04661, -670.31
C04662,     nan
C04663, -652.89
C04665,     nan
C04666,-1153.43
C04667,     nan
C04670, -608.17
C04671, -570.31
C04672, -187.54
C04673, -714.52
C04674,-3010.08
C04675,-3574.75
C04676, -246.46
C04677,-1355.58
C04678, -984.76
C04679,     nan
C04680,     nan
C04681,     nan
C04682,     nan
C04683,     nan
C04684,-1030.07
C04685, -400.08
C04686, -456.05
C04687, -631.45
C04688,    0.00
C04690, -877.23
C04691,-1920.22
C04692, -476.17
C04695,-1536.91
C04696,     nan
C04698,-1365.62
C04700,-4079.22
C04702,-4335.08
C04703,-2002.13
C04706, -601.76
C04707, -490.08
C04708,     nan
C04709,-2986.50
C04711, -290.81
C04712,-1416.53
C04713, -903.47
C04714,     nan
C04715, -317.76
C04717,     nan
C04718, -342.87
C04719,-1171.54
C04720, -505.48
C04721, -637.62
C04722, -646.73
C04724,-2518.97
C04725,     nan
C04726,     nan
C04727,     nan
C04728,     nan
C04729, -601.76
C04730,     nan
C04731,     nan
C04732, -781.20
C04733,-1782.98
C04734,-1480.82
C04735,     nan
C04736,     nan
C04737,     nan
C04738,-3328.62
C04739,-4428.43
C04740,     nan
C04741, -598.50
C04742,  -70.42
C04744, -107.61
C04746, -274.20
C04747,     nan
C04748,     nan
C04749,     nan
C04750,     nan
C04751,-1511.10
C04752,-1723.47
C04755,     nan
C04756,     nan
C04758, -490.08
C04759,     nan
C04760,-3508.14
C04763,     nan
C04767,-1836.69
C04768,     nan
C04771, -538.34
C04772,     nan
C04773, -546.48
C04775,     nan
C04776,     nan
C04778,-1107.71
C04779,     nan
C04780, -292.35
C04783,-1001.65
C04785,     nan
C04787,-2459.08
C04789,     nan
C04790,     nan
C04791,     nan
C04792,     nan
C04793, -475.40
C04794,-1578.49
C04796, -817.13
C04797, -817.13
C04798,     nan
C04799,     nan
C04800,     nan
C04801,     nan
C04802,     nan
C04804,-4532.12
C04805,  -70.42
C04806,     nan
C04807,-1818.57
C04808,-2855.79
C04809,     nan
C04810,     nan
C04811,-1481.81
C04812,-1423.86
C04814,  -85.63
C04815, -577.62
C04816,     nan
C04817,     nan
C04818,     nan
C04819,-2947.98
C04822,     nan
C04823,-1958.94
C04824,-2008.78
C04825,     nan
C04827,     nan
C04829,     nan
C04830,-1984.91
C04831,-1169.66
C04832,-2145.93
C04833,     nan
C04834, -202.82
C04835, -528.78
C04839,-2061.87
C04840, -263.16
C04843, -469.07
C04844, -668.88
C04845,     nan
C04847,-2216.99
C04848,     nan
C04849, -255.52
C04850,     nan
C04851,-2537.93
C04853, -386.72
C04855,     nan
C04856,-2443.81
C04858,-1710.76
C04859, -981.94
C04861,-2908.14
C04862,-1262.66
C04864,-2279.72
C04865,-2287.17
C04866,     nan
C04867, -174.81
C04871, -431.68
C04872,     nan
C04873, -587.57
C04874, -372.15
C04875, -323.77
C04876,-2826.58
C04877,-4404.19
C04880,     nan
C04881,-1957.94
C04882,-4660.05
C04883, -300.49
C04884,     nan
C04885,     nan
C04886,-2655.29
C04887,     nan
C04890,     nan
C04891,     nan
C04894,-4463.01
C04895,-2988.74
C04896,-2680.11
C04898,     nan
C04899,-3277.58
C04900,-3319.29
C04901,     nan
C04902,     nan
C04903,     nan
C04904,-2940.08
C04905,  232.80
C04906,     nan
C04907,     nan
C04908,   14.92
C04909,     nan
C04910,     nan
C04911,     nan
C04913,     nan
C04914,     nan
C04916,-2685.88
C04917,     nan
C04919,-3773.60
C04920,     nan
C04922,     nan
C04923,-3545.35
C04924,     nan
C04925,     nan
C04926,     nan
C04927,     nan
C04930,     nan
C04931,   -0.54
C04932,-2939.83
C04934,     nan
C04936,     nan
C04937,     nan
C04938,     nan
C04939,     nan
C04940,     nan
C04942,     nan
C04943,     nan
C04944,     nan
C05001,-1758.08
C05003, -916.85
C05005,     nan
C05009,     nan
C05010, -289.80
C05011,  187.97
C05016, -657.33
C05021, -888.63
C05026,  436.66
C05028, -145.97
C05031, -283.41
C05042,     nan
C05052, -756.17
C05056,     nan
C05057,     nan
C05058,  -70.15
C05060, -288.04
C05067,     nan
C05071,  150.61
C05073,-1200.27
C05076,   14.30
C05079, -208.61
C05080, -477.21
C05086, -691.47
C05100, -457.05
C05102,     nan
C05103,  129.90
C05104,  135.46
C05107,  166.22
C05108,  140.94
C05109,   62.51
C05110,   53.62
C05111,   60.42
C05113,     nan
C05114,     nan
C05116,-3364.15
C05117,-3219.09
C05118, -222.03
C05119, -222.03
C05122,-1339.04
C05123, -931.27
C05125,-1720.65
C05126, -536.21
C05127,  196.31
C05130,   39.34
C05131, -465.02
C05133, -341.15
C05135,   18.78
C05136,-2500.22
C05138, -281.11
C05139, -313.44
C05140, -290.16
C05141, -336.15
C05143, -845.45
C05144,     nan
C05145, -357.68
C05146, -270.02
C05147, -459.28
C05148,     nan
C05149,-1949.74
C05150,  216.85
C05151,-1072.43
C05153,     nan
C05155,     nan
C05156,     nan
C05157,     nan
C05158,-1040.87
C05159,     nan
C05161, -357.90
C05163, -922.07
C05165,-3363.15
C05167,     nan
C05172,     nan
C05174, -493.89
C05175, -486.30
C05176, -318.25
C05177, -607.94
C05178, -516.47
C05179,     nan
C05183,     nan
C05189, -512.05
C05190, -682.32
C05191, -311.08
C05193, -712.45
C05194, -509.29
C05195,-3280.12
C05196,     nan
C05197,     nan
C05198,  -40.74
C05199,     nan
C05200,   54.73
C05201,  308.29
C05202, -521.41
C05203, -499.38
C05204,  277.19
C05205,     nan
C05206,     nan
C05207,     nan
C05208,     nan
C05209,     nan
C05210,     nan
C05212,     nan
C05217,     nan
C05218,     nan
C05220,     nan
C05223,     nan
C05226,     nan
C05227,     nan
C05229, -675.57
C05230, -433.67
C05231,-3219.09
C05232,     nan
C05234,     nan
C05235, -294.58
C05239,  175.55
C05241, -632.88
C05243, -318.25
C05247, -514.23
C05250,     nan
C05252, -567.55
C05253, -488.02
C05258,-3280.57
C05259,-3242.97
C05260,-3294.50
C05261,-3256.90
C05262,-3308.43
C05263,-3270.83
C05264,-3322.36
C05265,-3284.76
C05266,-3336.29
C05267,-3298.69
C05268,-3351.66
C05269,-3310.06
C05270,-3191.01
C05271,-3111.91
C05272,-3041.13
C05273,-3055.06
C05274,-3163.15
C05275,-3082.92
C05276,-3096.85
C05278,     nan
C05279,-2988.77
C05280,-2988.77
C05281,     nan
C05282,-1133.95
C05283, -966.71
C05284, -290.16
C05285, -266.87
C05290, -276.98
C05291, -313.44
C05293, -173.93
C05294, -300.26
C05295, -260.18
C05296, -290.16
C05297, -236.90
C05298, -345.76
C05299, -340.82
C05300, -312.87
C05301, -369.04
C05302, -364.10
C05305,     nan
C05306,     nan
C05307, -340.20
C05308,-1709.40
C05309,     nan
C05312,     nan
C05313,   59.67
C05314,  286.27
C05315, -456.55
C05316, -707.51
C05317, -494.44
C05318,  282.13
C05319,     nan
C05320,     nan
C05321,     nan
C05322,     nan
C05324, -942.95
C05325,-1053.79
C05326,     nan
C05328, -136.94
C05329,     nan
C05330, -341.37
C05332,  109.19
C05334, -667.98
C05335,     nan
C05336,     nan
C05337,-3361.45
C05338,-3273.15
C05339,     nan
C05340, -404.53
C05341, -491.19
C05342, -343.88
C05343, -570.96
C05344,-2647.21
C05345,-1756.19
C05346,-1718.59
C05349, -185.08
C05350, -526.40
C05353,-1199.20
C05354,    6.11
C05356,     nan
C05357,     nan
C05358,     nan
C05359,     nan
C05360,  -68.19
C05361,  127.98
C05364,-1034.52
C05365,     nan
C05366, -702.12
C05370,-1459.34
C05371,-1085.88
C05372,-1562.60
C05375, -952.53
C05376,-1198.13
C05377, -167.39
C05378,-2597.42
C05379,-1117.77
C05380, -325.39
C05381,-2041.33
C05382,-1910.46
C05383,     nan
C05385,-1929.69
C05386,-2670.49
C05392,-1782.98
C05394, -892.32
C05396,-2421.01
C05399,-1617.66
C05400,-1587.23
C05401,-1160.90
C05402,-1576.18
C05403,-1556.50
C05404,-2258.86
C05405, -754.42
C05406, -736.89
C05410, -904.78
C05411, -971.30
C05412, -971.30
C05413,  953.81
C05414, 1034.03
C05416,  229.44
C05417,     nan
C05418,     nan
C05421,  953.81
C05422,     nan
C05423,     nan
C05424, -141.35
C05425, -311.62
C05426,     nan
C05427,-1719.21
C05430, 1114.25
C05431, 1194.48
C05432, 1274.70
C05433,  914.70
C05434,  986.49
C05435, 1066.71
C05437,  128.66
C05439,  135.46
C05440,  257.55
C05441,  135.14
C05442,  156.01
C05443,   45.27
C05444, -298.94
C05445, -258.86
C05446, -469.20
C05447,-3261.58
C05448,-3497.09
C05449,-3459.49
C05450,-3667.35
C05451, -118.57
C05452, -141.85
C05453, -288.83
C05454, -312.12
C05455,  -87.81
C05458, -288.83
C05460,-3431.85
C05463,-1054.33
C05464, -637.62
C05465,-1054.33
C05466, -637.62
C05467,-3629.76
C05468,-1334.98
C05469, -592.67
C05470, -615.95
C05471, -615.95
C05472, -639.23
C05473, -561.44
C05474, -584.72
C05475, -444.43
C05476, -467.71
C05477, -421.15
C05478, -444.43
C05479, -117.07
C05480, -140.35
C05481, -653.55
C05482, -676.83
C05483, -482.03
C05484, -177.95
C05485, -266.68
C05487, -438.20
C05488, -414.92
C05489, -608.47
C05490, -390.39
C05497, -428.10
C05498, -256.58
C05499, -277.95
C05500, -106.43
C05501, -265.65
C05502, -100.04
C05503,-1059.72
C05504,-1177.86
C05512, -246.55
C05513, -822.02
C05515, -307.61
C05516, -158.27
C05519, -516.90
C05520, -799.99
C05524,     nan
C05526,-1248.00
C05527, -470.09
C05528,-1223.45
C05529,     nan
C05533,-1110.81
C05535,     nan
C05537,-1234.45
C05539, -913.76
C05544,     nan
C05545,     nan
C05546,     nan
C05548, -588.79
C05551, -467.71
C05552, -485.46
C05554,-1625.84
C05556, -901.30
C05557, -936.52
C05560, -354.68
C05562,   -7.70
C05565, -589.47
C05568, -330.52
C05570,     nan
C05571,     nan
C05572, -595.86
C05574, -685.33
C05575, -104.17
C05576, -596.59
C05577, -556.51
C05578, -195.39
C05579,     nan
C05580, -774.12
C05581, -392.36
C05582, -609.96
C05583, -551.57
C05584, -769.18
C05585, -404.26
C05587, -292.18
C05588, -415.03
C05589, -451.39
C05590,     nan
C05592, -825.71
C05593, -411.75
C05594, -591.65
C05595, -860.36
C05596, -549.32
C05598, -346.85
C05600, -698.65
C05601, -938.09
C05604, -578.06
C05606,     nan
C05607, -360.85
C05608, -106.96
C05610, -503.38
C05613,  121.08
C05615,     nan
C05616, -820.08
C05618, -305.88
C05619, -725.93
C05620, -336.52
C05622,-2180.97
C05623,-1431.38
C05625,-1945.93
C05627,    4.55
C05629, -201.63
C05631, -876.07
C05634, -101.50
C05635, -319.10
C05636, -193.88
C05637, -170.23
C05638, -193.88
C05639, -170.23
C05640, -555.09
C05641, -948.45
C05642, -428.60
C05643, -320.27
C05644, -220.95
C05645, -626.32
C05646, -433.75
C05647, -312.80
C05648, -637.77
C05649,     nan
C05650,  260.03
C05651, -518.85
C05652, -626.32
C05653, -319.75
C05654, -696.41
C05655, -914.02
C05656,-1028.67
C05657, -471.35
C05658,    7.76
C05659,    3.62
C05660, -314.16
C05662,-1150.00
C05663, -504.05
C05665, -150.09
C05668,-3368.99
C05669, -348.47
C05670,   25.02
C05672,-1189.21
C05673,     nan
C05674,-2134.30
C05675,     nan
C05676,     nan
C05677,     nan
C05678,-1023.45
C05679, -827.87
C05680, -780.43
C05681,     nan
C05682,-1182.02
C05683,-1297.83
C05684,     nan
C05686,     nan
C05688,     nan
C05689,     nan
C05690,     nan
C05691,     nan
C05692,     nan
C05693,     nan
C05694,     nan
C05695,     nan
C05696,     nan
C05697,     nan
C05698,     nan
C05699,     nan
C05702,-1356.00
C05703,     nan
C05704,     nan
C05705,     nan
C05706,     nan
C05707,     nan
C05708,     nan
C05710,     nan
C05711, -748.57
C05712,     nan
C05713,     nan
C05714,   60.80
C05715, -292.99
C05717, -292.99
C05718,     nan
C05720,   39.65
C05721,  414.14
C05723,     nan
C05726,     nan
C05727,     nan
C05729,     nan
C05730, -706.92
C05731,-1544.81
C05737,     nan
C05744,     nan
C05745,     nan
C05746,     nan
C05747,     nan
C05748,     nan
C05749,     nan
C05750,     nan
C05751,     nan
C05752,     nan
C05753,     nan
C05754,     nan
C05755,     nan
C05756,     nan
C05757,     nan
C05758,     nan
C05759,     nan
C05760,     nan
C05761,     nan
C05762,     nan
C05763,     nan
C05764,     nan
C05765,-1535.74
C05766,-2265.55
C05767,     nan
C05768, -954.94
C05769,     nan
C05770,     nan
C05771, -191.93
C05772,-2164.63
C05773,     nan
C05774,     nan
C05775, -266.48
C05776,     nan
C05777,     nan
C05778,     nan
C05779,     nan
C05780,     nan
C05781,     nan
C05782,     nan
C05783,     nan
C05784,     nan
C05785,     nan
C05786, -718.94
C05787,-2282.57
C05789, -561.44
C05790, -710.23
C05791, -628.54
C05793, -653.30
C05794, -802.08
C05795, -720.39
C05796,     nan
C05797,     nan
C05798,     nan
C05799,     nan
C05800,  591.71
C05801,  -66.62
C05802,  393.49
C05803,  275.51
C05804,  298.08
C05805,     nan
C05807,  136.53
C05808,  -66.62
C05809,  485.47
C05810,  819.30
C05811,  616.14
C05812,  621.08
C05813,  503.10
C05814,  525.67
C05815,  495.82
C05817, -876.13
C05818,   53.23
C05819,   17.23
C05820, -198.05
C05821,-1963.71
C05822,-1355.15
C05823, -493.39
C05824,-1086.74
C05825, -465.37
C05827,   96.13
C05828, -121.47
C05829, -784.70
C05830, -499.12
C05831, -399.04
C05832, -545.53
C05834, -208.43
C05835, -427.43
C05837,-1293.29
C05838, -324.56
C05839,-1040.87
C05840, -616.01
C05841, -735.87
C05842, -166.93
C05843, -166.93
C05844,-1239.62
C05845,-1383.41
C05847,-1717.93
C05848, -197.30
C05849,  -54.67
C05850,     nan
C05851,  158.00
C05852, -411.75
C05853,  -31.07
C05855, -863.34
C05856,  222.55
C05859,-1376.55
C05860,-3381.18
C05861,-4045.36
C05864,-6045.35
C05868,-8709.52
C05869,     nan
C05892,-4079.22
C05893,-3175.14
C05894,-3007.90
C05895,-2052.32
C05896,     nan
C05897,-2862.91
C05898,-3500.11
C05901, -457.50
C05902, -506.98
C05903, -511.92
C05904, -130.78
C05905, -333.93
C05906,-1069.61
C05907, -899.35
C05908, -537.08
C05909,-1272.77
C05911,-1079.22
C05912, -640.17
C05913, -637.26
C05914,     nan
C05915,     nan
C05916,     nan
C05917,     nan
C05918,  291.42
C05919,  291.42
C05920,     nan
C05921,  -37.91
C05922,-3272.25
C05923,-3158.29
C05924,     nan
C05925,-1212.64
C05926, -350.91
C05927,-2055.35
C05928,-1117.82
C05929,-1566.43
C05931,-1126.76
C05932, -909.16
C05933,     nan
C05936, -263.50
C05938, -626.94
C05939, -648.54
C05941, -634.23
C05942, -212.98
C05944, -593.17
C05945,-1106.56
C05946, -952.01
C05947, -844.55
C05949, -192.04
C05950, -564.25
C05951, -503.95
C05952, -366.37
C05953, -319.86
C05954, -431.81
C05955, -375.83
C05956,     nan
C05957, -319.86
C05958, -397.16
C05959, -550.96
C05960, -513.36
C05961, -752.80
C05962, -729.52
C05963, -659.58
C05964, -654.25
C05965,     nan
C05966,     nan
C05973,     nan
C05974,     nan
C05976,     nan
C05977,     nan
C05979, -175.85
C05980,     nan
C05981,     nan
C05983,  -26.81
C05984, -506.30
C05985, -144.79
C05986, -184.87
C05989,-3328.91
C05990,-1227.44
C05993,  -33.77
C05994, -820.18
C05995, -725.55
C05996,     nan
C05997,-3201.56
C05998,-3360.90
C05999, -292.11
C06000,-3359.34
C06001, -497.94
C06002, -457.86
C06006, -614.14
C06007, -651.74
C06008, -448.53
C06010, -621.11
C06011, -596.54
C06016,     nan
C06017,-3151.32
C06018,-2789.73
C06019,-1745.87
C06020,   -0.00
C06021,   -0.00
C06022,-3207.88
C06023,-1800.82
C06024,-4750.80
C06025,-5720.55
C06026,-5842.83
C06027,-3689.12
C06028,-3453.62
C06029, -827.72
C06030, -790.12
C06031, -827.72
C06032, -827.72
C06033, -948.76
C06034, -841.29
C06035, -706.86
C06036,     nan
C06037,     nan
C06038,     nan
C06040,     nan
C06041,     nan
C06042,     nan
C06044, -234.22
C06046, -905.85
C06047, -599.94
C06048, -599.94
C06049,     nan
C06050, -506.40
C06051, -328.87
C06052, -329.47
C06054,-1622.68
C06055,-1515.21
C06056, -673.99
C06057, -349.01
C06058,     nan
C06059,     nan
C06060,     nan
C06062,     nan
C06066, -343.35
C06067,  -15.51
C06068,   61.38
C06069, -183.76
C06070, -304.77
C06071,-1208.98
C06074,  273.96
C06075,   42.12
C06076,   49.47
C06077,     nan
C06078,  120.89
C06079, -673.67
C06080,     nan
C06081,  147.52
C06082, -420.29
C06083,   45.08
C06084,     nan
C06085,     nan
C06086,  262.74
C06087, -173.37
C06088,     nan
C06089,-1696.27
C06090,     nan
C06091,     nan
C06092,     nan
C06093,     nan
C06094,     nan
C06095,     nan
C06096,     nan
C06098,  518.20
C06099,  120.89
C06102, -446.61
C06103, -486.69
C06104, -664.22
C06105, -251.51
C06108, -355.43
C06109,     nan
C06110,     nan
C06111,-1595.61
C06112,     nan
C06113,     nan
C06114, -423.60
C06115, -757.86
C06118,-1782.98
C06121, -166.96
C06123,   37.88
C06124,-1002.87
C06125,     nan
C06126,     nan
C06127,     nan
C06128,     nan
C06129,     nan
C06130,     nan
C06131,     nan
C06132,     nan
C06133,     nan
C06134,     nan
C06135,     nan
C06136,     nan
C06138,     nan
C06139,     nan
C06140,     nan
C06141,     nan
C06142, -171.45
C06143,     nan
C06144, -355.43
C06145, -137.83
C06146, -177.90
C06148,-3164.06
C06149,-2984.24
C06150,     nan
C06151,     nan
C06152, -979.13
C06153, -979.13
C06155,-1812.91
C06156,-1605.72
C06157,     nan
C06158, -747.69
C06159, -774.28
C06160, -301.17
C06161, -296.23
C06162, -355.89
C06163, -505.43
C06165, -752.32
C06167, -380.14
C06171,     nan
C06172,     nan
C06173,     nan
C06174,     nan
C06175,     nan
C06176,     nan
C06177, -294.98
C06178,  138.43
C06179,  -84.11
C06180,  227.78
C06181,  153.71
C06182,  -49.55
C06183,   38.39
C06184,  -71.58
C06185, -265.85
C06186,-1004.35
C06187,-1845.58
C06188,-1798.72
C06189, -341.03
C06192,-2603.41
C06193,-1255.77
C06194,-1025.50
C06195,  -14.74
C06196,-1086.68
C06197,     nan
C06198,-4700.00
C06199,  -10.15
C06201, -938.09
C06202, -201.11
C06203, -439.21
C06204, -511.18
C06205, -143.45
C06206,-1065.97
C06207, -614.90
C06210, -485.65
C06212,   35.05
C06213,  238.20
C06215,-2234.86
C06216,-4900.67
C06217,-4236.49
C06218,-3572.31
C06219,-2244.73
C06222,-1901.90
C06224, -198.60
C06227,     nan
C06228,-1152.93
C06229,-1161.76
C06230,-1963.71
C06231, -204.01
C06232,     nan
C06234, -675.69
C06238,-1593.53
C06239,-1593.53
C06240,-3295.40
C06241,-2198.72
C06244, -190.22
C06246,     nan
C06247,     nan
C06248,-2331.80
C06249,     nan
C06250,     nan
C06251,-5788.65
C06254,     nan
C06255, -460.40
C06257, -599.09
C06258,     nan
C06259,     nan
C06260,     nan
C06262,     nan
C06263,     nan
C06264,     nan
C06265,     nan
C06266,     nan
C06267,     nan
C06268,     nan
C06269,     nan
C06272,     nan
C06273,     nan
C06297,     nan
C06299,     nan
C06300,     nan
C06302,     nan
C06304,   49.47
C06305,   49.47
C06306,   26.68
C06307,   47.07
C06308,   26.68
C06309,   42.79
C06310,  286.14
C06311,-1787.25
C06312,-1756.19
C06313, -193.82
C06314, -388.85
C06315, -388.85
C06316, -599.74
