cid,dG0_f
C00371,  287.39
C00372,     nan
C00373, -630.88
C00374,     nan
C00375,     nan
C00376,  255.29
C00377,     nan
C00378,  182.48
C00379, -783.65
C00380,  -14.66
C00381,  298.82
C00383, -685.11
C00384,     nan
C00385, -114.28
C00386, -316.06
C00387, -412.01
C00388,  139.52
C00389, -715.07
C00390, -445.10
C00391,     nan
C00392, -943.77
C00393,     nan
C00394,-2828.69
C00395,     nan
C00396,  173.76
C00397,-1235.86
C00398,  201.84
C00399, -343.43
C00400, -108.71
C00401,     nan
C00402, -692.30
C00403,     nan
C00404,     nan
C00405,     nan
C00406,-3384.18
C00407, -343.87
C00408, -275.70
C00409,  -13.49
C00410,  -86.31
C00411,-3582.39
C00412,-3107.43
C00413,-1442.94
C00414, -103.41
C00415, -492.78
C00416,     nan
C00417, -916.17
C00418, -649.61
C00419,     nan
C00420,-2243.96
C00422,     nan
C00423, -126.55
C00424, -284.84
C00426,     nan
C00427, -462.73
C00429, -259.35
C00430, -475.01
C00431, -353.40
C00433, -575.19
C00434,     nan
C00435,     nan
C00436, -141.95
C00437, -476.66
C00438, -813.43
C00439, -567.04
C00440, -501.02
C00441, -456.46
C00444,     nan
C00445, -461.89
C00446,-1749.37
C00447,-2743.13
C00448,-1604.14
C00449, -967.25
C00450, -166.21
C00451,-1155.37
C00454,     nan
C00455,-1416.92
C00458,-2968.44
C00459,-3185.71
C00460,-3186.33
C00461,     nan
C00462,     nan
C00463,  221.08
C00464,     nan
C00466, -289.74
C00468, -143.30
C00469, -178.96
C00470,-2776.54
C00472, -176.39
C00473,  226.98
C00474, -777.22
C00475, -520.81
C00476, -749.42
C00477, -752.67
C00478, -722.05
C00479, -132.89
C00480,     nan
C00481,     nan
C00482, -723.89
C00483,  -93.96
C00484,     nan
C00486, -541.03
C00487, -438.30
C00488, -161.21
C00489, -671.18
C00490, -590.75
C00491, -666.55
C00492,-2240.72
C00493, -822.06
C00494, -891.81
C00495, -788.42
C00496,     nan
C00497, -849.67
C00498,-2606.61
C00499, -642.20
C00500, -632.88
C00501,-2928.67
C00502, -971.30
C00503, -641.52
C00504, -453.87
C00505,     nan
C00506,-1115.98
C00507, -755.00
C00508, -756.98
C00509, -672.92
C00510,-3027.21
C00511, -268.81
C00512,-3076.97
C00513,-2508.09
C00514,-1123.55
C00515, -368.46
C00516,     nan
C00517,  -42.35
C00518,     nan
C00519,  -37.65
C00521,  120.89
C00522, -636.07
C00523, -173.93
C00524,     nan
C00525, -123.13
C00526, -569.00
C00527,-3532.59
C00528,-2283.80
C00530, -288.04
C00531,-3452.16
C00532, -793.77
C00533,   86.49
C00534, -226.56
C00535, -141.56
C00536,     nan
C00538,     nan
C00539, -215.56
C00540,-2982.82
C00541,     nan
C00542, -656.32
C00543,   -3.34
C00544, -614.90
C00545, -971.30
C00546, -257.10
C00547, -456.33
C00548, -187.56
C00549,-3007.70
C00550,     nan
C00551,-2243.96
C00552,-1007.57
C00553, -108.71
C00555, -142.76
C00556,  -36.90
C00557, -117.06
C00558,-1092.11
C00559,  -29.97
C00561,   24.53
C00562,     nan
C00563, -725.15
C00565,   37.17
C00566,-4023.17
C00568, -200.83
C00569,     nan
C00570,-2212.82
C00571,   19.90
C00573,     nan
C00574,     nan
C00575, -795.16
C00576,  -75.40
C00577, -437.10
C00579, -113.94
C00580,    6.40
C00581, -314.87
C00582,-3070.00
C00583, -334.28
C00584, -527.68
C00585,     nan
C00586, -745.33
C00587, -418.71
C00588, -960.92
C00590, -338.99
C00591,     nan
C00593, -891.19
C00596, -377.96
C00597,-1508.03
C00599,   82.46
C00601,    9.01
C00602,     nan
C00603, -678.68
C00604,  353.89
C00605,     nan
C00606, -362.62
C00607,     nan
C00608,     nan
C00609,     nan
C00611,-1552.81
C00612, -129.86
C00613,     nan
C00614,     nan
C00615,     nan
C00616,-1468.43
C00617,-3321.54
C00618,-1085.95
C00619,   27.09
C00620,-1585.73
C00621,-1452.84
C00623,-1330.50
C00624, -817.70
C00625,     nan
C00627,-1210.18
C00628, -621.87
C00630,-3202.25
C00631,-1500.51
C00632, -403.98
C00633, -201.11
C00634,     nan
C00635,     nan
C00636,-1755.10
C00637,  101.66
C00638,     nan
C00639, -550.96
C00640,     nan
C00641,     nan
C00642, -411.75
C00643, -326.29
C00644,-1788.16
C00645, -885.43
C00647,-1069.92
C00650, -178.62
C00651, -597.94
C00652, -752.53
C00653,     nan
C00655,-1460.09
C00658,     nan
C00659, -614.14
C00660,-2590.60
C00661,-1290.42
C00662,     nan
C00663,-1749.37
C00664, -411.39
C00665,-2578.92
C00666, -684.73
C00667,     nan
C00668,-1756.17
C00669, -796.95
C00670,-1007.16
C00671, -448.53
C00672,-1420.98
C00673,-1449.92
C00674, -150.65
C00675,     nan
C00676,     nan
C00677,     nan
C00679,-1104.27
C00680, -686.38
C00681,     nan
C00682, -488.01
C00683,-3529.07
C00684, -779.82
C00685,     nan
C00686,     nan
C00688,-2793.42
C00689,-2430.47
C00691, -955.85
C00692,-3955.36
C00693,     nan
C00694,     nan
C00695, -670.31
C00696, -527.68
C00697,   18.70
C00698,     nan
C00700,-3236.20
C00701,     nan
C00703,     nan
C00704,     nan
C00705,-2104.44
C00706,     nan
C00707,     nan
C00708,     nan
C00711, -837.36
C00712, -165.80
C00713,-2251.41
C00714,     nan
C00715,  109.89
C00716, -521.73
C00717,     nan
C00718,     nan
C00719, -293.01
C00720,     nan
C00721,     nan
C00722,     nan
C00723,     nan
C00725, -258.29
C00726,     nan
C00727, -287.25
C00729, -121.23
C00732, -472.39
C00734,-1800.82
C00735, -585.19
C00736, -348.33
C00737, -915.60
C00738, -915.60
C00739, -357.60
C00740, -522.91
C00741, -252.15
C00742,     nan
C00744,-1909.29
C00745,  193.23
C00746, -209.52
C00747,  146.01
C00748,     nan
C00750,   24.35
C00751,  646.00
C00752,     nan
C00753,     nan
C00755, -399.32
C00756, -139.12
C00757, -453.90
C00758,  172.57
C00759,     nan
C00760,     nan
C00761,-1061.56
C00762, -561.91
C00763, -289.01
C00764, -916.85
C00765,-3695.52
C00766,  -63.46
C00768, -185.45
C00770,-1123.55
C00771,-2243.96
C00772, -584.16
C00773,-1183.72
C00774, -652.38
C00775,     nan
C00777,   36.25
C00778,     nan
C00779, -579.80
C00780,   -1.32
C00783,  -97.95
C00785,  -90.99
C00786, -667.98
C00787,    0.00
C00788, -419.97
C00789,-2812.59
C00791,  -23.31
C00792, -273.92
C00793, -348.33
C00794, -945.49
C00795, -917.19
C00796,  297.06
C00797,  -39.67
C00798,-3220.67
C00799,  122.70
C00800,-1123.55
C00801,     nan
C00802, -667.86
C00803, -336.56
C00804, -362.40
C00805, -418.71
C00806, -123.13
C00807,     nan
C00808, -107.69
C00809, -107.69
C00810, -292.18
C00811, -324.56
C00812,     nan
C00813, -460.95
C00814, -481.82
C00815, -834.11
C00816,     nan
C00817,-1123.55
C00818,-1301.08
C00819, -518.09
C00820, -516.90
C00821,     nan
C00822, -565.96
C00823,  -82.42
C00824,     nan
C00825,-1406.13
C00826, -709.86
C00827,-3371.12
C00828,   82.81
C00829,  208.33
C00830, -806.73
C00831, -557.34
C00832,-1912.57
C00835, -180.74
C00836, -241.86
C00837, -496.46
C00839,     nan
C00840,     nan
C00841,   -5.41
C00842,-2973.62
C00843,  -85.43
C00844, -642.29
C00845,-3127.30
C00846, -785.83
C00847, -546.48
C00848, -216.30
C00849, -337.65
C00850, -838.25
C00852,-1278.59
C00853,     nan
C00854, -128.92
C00855, -321.48
C00856,     nan
C00857,-2431.14
C00858, -100.68
C00859,     nan
C00860,   -7.92
C00861, -754.84
C00862,-1967.28
C00863,     nan
C00864, -777.69
C00865,     nan
C00868,     nan
C00869, -367.64
C00870,  -89.04
C00871,     nan
C00872, -699.26
C00873, -201.15
C00875,     nan
C00876,-2582.50
C00877,-3131.06
C00878, -971.30
C00879,-1301.08
C00880,-1123.55
C00881, -351.11
C00882,-2263.13
C00883,-2251.41
C00884, -309.10
C00885, -795.28
C00886,     nan
